rank,release,gross,theaters,total_gross,release_date,distributor,estimated,scraped_at
52,Reagan,30047417,"2,770",30047417,Aug 30,Showbiz Direct,false,2025-12-13T12:16:56.182116
53,The Forge,29123632,"1,921",29123632,Aug 23,Affirm Films,false,2025-12-13T12:16:56.182116
54,Horizon: An American Saga - Chapter 1,29035702,"3,334",29035702,Jun 28,Warner Bros.,false,2025-12-13T12:16:56.182116
55,A Complete Unknown,28501840,"2,835",75001720,Dec 25,Searchlight Pictures,false,2025-12-13T12:16:56.182116
56,Imaginary,28009161,"3,118",28009161,Mar 8,Lionsgate,false,2025-12-13T12:16:56.182116
57,Heretic,27915648,"3,230",27986380,Nov 8,A24,false,2025-12-13T12:16:56.182116
58,Abigail,25867515,"3,393",25867515,Apr 19,Universal Pictures,false,2025-12-13T12:16:56.182116
59,Monkey Man,25116955,"3,037",25116955,Apr 5,Universal Pictures,false,2025-12-13T12:16:56.182116
60,Arthur the King,25049006,"3,003",25049006,Mar 15,Lionsgate,false,2025-12-13T12:16:56.182116
61,We Live in Time,24692261,"2,964",24692924,Oct 11,A24,false,2025-12-13T12:16:56.182116
62,Poor Things,24284189,"2,300",34553225,Dec 8,Searchlight Pictures,false,2025-12-13T12:16:56.182116
63,Blink Twice,23093906,"3,067",23093906,Aug 23,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
64,Kraven the Hunter,21915474,"3,211",25026310,Dec 13,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
65,The Bikeriders,21746895,"2,692",21746895,Jun 21,Focus Features,false,2025-12-13T12:16:56.182116
66,The Ministry of Ungentlemanly Warfare,20535053,"2,845",20535053,Apr 19,Lionsgate,false,2025-12-13T12:16:56.182116
67,Fly Me to the Moon,20532222,"3,356",20532222,Jul 12,Columbia Pictures,false,2025-12-13T12:16:56.182116
